Opponent,CCSF 1Q,CCSF 2Q,CCSF 3Q,CCSF 4Q,CCSF OT,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q,Opp OT
Santa Rosa,7,14,0,10,0,0,13,0,7,0
Sacramento City,0,10,0,0,0,0,16,7,7,0
Butte,9,17,7,2,0,7,0,0,7,0
Fresno,3,7,0,14,0,0,0,0,6,0
Sierra,0,7,7,0,0,7,3,0,0,0
San Joaquin Delta,0,0,10,7,0,0,14,14,16,0
Laney,14,3,0,3,0,9,0,6,16,0
Diablo Valley,3,7,0,0,6,0,10,0,0,7
Chabot,21,0,14,3,0,0,7,0,7,0
San Mateo,0,0,0,13,0,3,21,0,7,0
Sequoias,10,14,0,10,0,7,3,0,14,0
