Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
82,tt11827628,2022-05-01,2022-08-23,"Opening Weekend: $3,100,000
Domestic: $7,329,043
International: $6,119,886

TOTAL: $13,448,929",Memory,https://www.imdb.com/title/tt11827628/,movie,5.7,114,2022,"Action, Crime, Thriller",27081,2022-04-28,Martin Campbell
83,tt11952606,2022-08-09,2022-09-20,"Opening Weekend: $5,447,130
Domestic: $13,006,820
International: $56,828

TOTAL: $13,063,648",Easter Sunday,https://www.imdb.com/title/tt11952606/,movie,5.3,96,2022,Comedy,2087,2022-08-04,Jay Chandrasekhar
84,tt14807308,2022-11-29,2023-01-04,"Opening Weekend: $2,217,010
Domestic: $5,825,995
International: $5,990,295

TOTAL: $11,816,290",She Said,https://www.imdb.com/title/tt14807308/,movie,7.2,129,2022,"Drama, History",19294,2022-10-13,Maria Schrader
85,tt13841850,2022-05-23,2023-01-04,"Opening Weekend: $3,293,030
Domestic: $7,587,853
International: $3,564,218

TOTAL: $11,152,071",Men,https://www.imdb.com/title/tt13841850/,movie,6.1,100,2022,"Drama, Fantasy, Horror, Thriller",44706,2022-05-20,Alex Garland
86,tt14444726,2022-10-11,2023-01-31,"Opening Weekend: $158,620
Domestic: $6,153,140
International: $3,448,000

TOTAL: $9,601,140",Tár,https://www.imdb.com/title/tt14444726/,movie,7.6,158,2022,"Drama, Music",30040,2022-09-01,Todd Field
87,tt18925334,2022-09-20,2023-01-04,"Opening Weekend: $3,124,600
Domestic: $9,423,445
International:

TOTAL: $9,423,445",Pearl,https://www.imdb.com/title/tt18925334/,movie,7.0,103,2022,Horror,41480,2022-09-03,Ti West
88,tt4960748,2022-10-17,2023-01-04,"Opening Weekend: $242,269
Domestic: $9,000,202
International:

TOTAL: $9,000,202",Till,https://www.imdb.com/title/tt4960748/,movie,7.2,130,2022,"Biography, Drama, History",6958,2022-10-01,Chinonye Chukwu
89,tt10343028,2022-10-31,2023-01-04,"Opening Weekend: $70,275
Domestic: $1,860,050
International: $4,016,422

TOTAL: $5,876,472",Armageddon Time,https://www.imdb.com/title/tt10343028/,movie,6.6,114,2022,Drama,8567,2022-05-19,James Gray
90,tt14549466,2022-06-06,2023-01-04,"Opening Weekend: $1,117,962
Domestic: $2,452,882
International: $2,090,694

TOTAL: $4,543,576",Crimes of the Future,https://www.imdb.com/title/tt14549466/,movie,5.9,107,2022,"Drama, Horror, Sci-Fi",30881,2022-05-23,David Cronenberg
91,tt14402146,2022-12-20,2023-01-24,"Opening Weekend: $163,405
Domestic: $1,170,995
International: $3,256,245

TOTAL: $4,427,240",Empire of Light,https://www.imdb.com/title/tt14402146/,movie,6.8,115,2022,"Drama, Romance",3921,2022-09-03,Sam Mendes
92,tt11976532,2022-08-01,2023-01-04,"Opening Weekend: $1,755,325
Domestic: $4,330,720
International: $39,816

TOTAL: $4,370,536",Vengeance,https://www.imdb.com/title/tt11976532/,movie,6.8,107,2022,"Comedy, Mystery, Thriller",21231,2022-06-12,B.J. Novak
93,tt13669038,2022-12-28,2023-01-31,"Opening Weekend: $40,534
4-Day Opening: $54,945
Domestic: $2,351,615
International:

TOTAL: $2,351,615",Women Talking,https://www.imdb.com/title/tt13669038/,movie,7.5,104,2022,Drama,3454,2022-09-02,Sarah Polley
94,tt7775720,2022-12-06,2023-01-04,"Opening Weekend: $82,983
Domestic: $1,384,003
International:

TOTAL: $1,384,003",Spoiler Alert,https://www.imdb.com/title/tt7775720/,movie,7.1,112,2022,"Comedy, Drama",2198,2022-12-02,Michael Showalter
95,tt13495458,2022-11-29,2023-01-04,"Opening Weekend: $65,942
Domestic: $385,627
International:

TOTAL: $385,627",The Inspection,https://www.imdb.com/title/tt13495458/,movie,7.0,95,2022,Drama,886,2022-09-08,Elegance Bratton
