name,networth,citizenship,industry
Rubens Menin Teixeira de Souza,1200.0,Brazil,Diversified
Lorinc Meszaros,1200.0,Hungary,Diversified
Ulrich Mommert & family,1200.0,Austria,Automotive
Park Kwan-ho,1200.0,South Korea,Media & Entertainment
George Pedersen,1200.0,United States,Manufacturing
David Penaloza Alanis,1200.0,Mexico,Construction & Engineering
Stefan Pierer,1200.0,Austria,Automotive
Murdaya Poo,1200.0,Indonesia,Diversified
Michael Price,1200.0,United States,Finance & Investments
Leonid Radvinsky,1200.0,United States,Technology
Megdet Rahimkulov & family,1200.0,Russia,Finance & Investments
Andrei Rappoport,1200.0,Russia,Finance & Investments
Dasari Uday Kumar Reddy,1200.0,India,Technology
Helena Revoredo,1200.0,Spain,Service
Duke Reyes,1200.0,United States,Food & Beverage
Nobutada Saji,1200.0,Japan,Food & Beverage
Leonard Schleifer,1200.0,United States,Healthcare
Airat Shaimiev,1200.0,Russia,Energy
Radik Shaimiev,1200.0,Russia,Energy
Vijay Shekhar Sharma,1200.0,India,Service
Devi Shetty,1200.0,India,Healthcare
Shum Chiu Hung & family,1200.0,China,Real Estate
Michael Steinhardt,1200.0,United States,Finance & Investments
Petter Stordalen & family,1200.0,Norway,Service
Winarko Sulistyo,1200.0,Indonesia,Manufacturing
Sun Huaiqing & family,1200.0,China,Fashion & Retail
Luc Tack,1200.0,Belgium,Manufacturing
Lucio Tan,1200.0,Philippines,Diversified
Yoshikazu Tanaka,1200.0,Japan,Technology
Stanley Tang,1200.0,United States,Technology
Sam Tarascio,1200.0,Australia,Real Estate
Alexander Tedja,1200.0,Indonesia,Real Estate
Laurie Tisch,1200.0,United States,Diversified
Steven Tisch,1200.0,United States,Diversified
Stefania Triva,1200.0,Italy,Healthcare
Maria Grace Uy,1200.0,Philippines,Telecom
Wim van der Leegte,1200.0,Netherlands,Manufacturing
Thongma Vijitpongpun,1200.0,Thailand,Real Estate
Jianfeng Wang & family,1200.0,China,Automotive
Wang Jilei,1200.0,China,Logistics
Wang Junmin,1200.0,China,Healthcare
Wang Kunxiao,1200.0,China,Manufacturing
Wang Zhentao & family,1200.0,China,Healthcare
J. Wayne Weaver,1200.0,United States,Diversified
Weng Xianding,1200.0,China,Healthcare
Horst Wortmann,1200.0,Germany,Fashion & Retail
Wu Chung-yi,1200.0,Taiwan,Manufacturing
Wu Li-gann,1200.0,Taiwan,Manufacturing
Wu Peifu & family,1200.0,China,Manufacturing
Xiu Laigui,1200.0,China,Healthcare
Yeh Kuo-I,1200.0,Taiwan,Manufacturing
Faxiang Yu,1200.0,China,Media & Entertainment
Zeng Chaolin,1200.0,China,Metals & Mining
Zhang Tianyu,1200.0,China,Telecom
Shusheng Zheng,1200.0,China,Telecom
A. Jayson Adair,1100.0,United States,Automotive
Joao Alves de Queiroz Filho,1100.0,Brazil,Diversified
Ryuji Arai,1100.0,Japan,Fashion & Retail
Sara Blakely,1100.0,United States,Fashion & Retail
Lloyd Blankfein,1100.0,United States,Finance & Investments
Henadiy Boholyubov,1100.0,Ukraine,Diversified
Casper Callerström,1100.0,Sweden,Finance & Investments
Kejian Cao,1100.0,China,Manufacturing
Turgay Ciner,1100.0,Turkey,Diversified
Dai Lizhong,1100.0,China,Healthcare
Pedro de Godoy Bueno,1100.0,Brazil,Healthcare
Aydin Dogan,1100.0,Turkey,Media & Entertainment
Wolfgang Egger,1100.0,Germany,Real Estate
Gabriel Escarrer,1100.0,Spain,Service
Richard Fairbank,1100.0,United States,Finance & Investments
Andy Fang,1100.0,United States,Technology
Benedicte Find,1100.0,Denmark,Healthcare
Paul Fireman,1100.0,United States,Fashion & Retail
Donald Friese,1100.0,United States,Manufacturing
Soichiro Fukutake,1100.0,Japan,Service
Antonio Gallardo Ballart,1100.0,Spain,Healthcare
David Golub,1100.0,United States,Finance & Investments
Guan Yihong,1100.0,China,Food & Beverage
Stelios Haji-Ioannou,1100.0,Cyprus,Service
Mustafa Hamied,1100.0,India,Healthcare
Han Arming Hanafia,1100.0,Indonesia,Technology
Ronnen Harary,1100.0,Canada,Manufacturing
David Helgason,1100.0,Iceland,Technology
Christian Herz,1100.0,Germany,Finance & Investments
Michaela Herz,1100.0,Germany,Finance & Investments
Eduardo Hochschild,1100.0,Peru,Metals & Mining
Hong Seok-joh,1100.0,South Korea,Fashion & Retail
Huang Jiangji,1100.0,Hong Kong,Technology
Huang Xu,1100.0,China,Technology
Subba Rao Jasti,1100.0,India,Healthcare
Long Jiang,1100.0,China,Technology
Jiang Xuefei & family,1100.0,China,Technology
Jonas Kamprad,1100.0,Sweden,Finance & Investments
Mathias Kamprad,1100.0,Sweden,Finance & Investments
Peter Kamprad,1100.0,Sweden,Finance & Investments
Andrew Karam,1100.0,United States,Media & Entertainment
Samvel Karapetyan,1100.0,Russia,Construction & Engineering
Alexander Karp,1100.0,United States,Technology
Ke Guihua,1100.0,China,Manufacturing
Kim Jung-woong,1100.0,South Korea,Fashion & Retail
Harry Klagsbrun,1100.0,Sweden,Finance & Investments
Alexander Knauf,1100.0,Germany,Manufacturing
Martin Knauf,1100.0,Germany,Manufacturing
Robert Knauf,1100.0,Germany,Manufacturing
Koh Wee Meng,1100.0,Singapore,Real Estate
Sergei Kolesnikov,1100.0,Russia,Manufacturing
Andrei Komarov,1100.0,Russia,Manufacturing
Koo Bon-neung,1100.0,South Korea,Manufacturing
Koo Bon-sik,1100.0,South Korea,Technology
Suresh Krishna,1100.0,India,Automotive
Nancy Lerner,1100.0,United States,Finance & Investments
Norma Lerner,1100.0,United States,Finance & Investments
Randolph Lerner,1100.0,United States,Finance & Investments
Li Shui-po,1100.0,Taiwan,Manufacturing
Li Tan,1100.0,China,Healthcare
Li Wenmei & family,1100.0,China,Healthcare
Lim Hariyanto Wijaya Sarwono,1100.0,Indonesia,Energy
Lin Jie & family,1100.0,China,Healthcare
Liu Chengyu & family,1100.0,China,Manufacturing
Lou Boliang,1100.0,United States,Healthcare
Lun Ruixiang & family,1100.0,China,Real Estate
Lv Yongxiang,1100.0,China,Manufacturing
Ma Xiuhui,1100.0,China,Manufacturing
Yasseen Mansour,1100.0,Egypt,Diversified
Jorge Mas,1100.0,United States,Construction & Engineering
Michael McCain,1100.0,Canada,Food & Beverage
Gabriella Meister,1100.0,Germany,Manufacturing
Ulrike Meister,1100.0,Germany,Manufacturing
Jeffrey Michael & family,1100.0,United States,Technology
Soichiro Minami,1100.0,Japan,Technology
Bob Muglia,1100.0,United States,Technology
Erik Must,1100.0,Norway,Finance & Investments
Kerr Neilson,1100.0,Australia,Finance & Investments
John Oyler,1100.0,United States,Healthcare
Park Hyeon-joo,1100.0,South Korea,Finance & Investments
Jose Isaac Peres & family,1100.0,Brazil,Real Estate
Catherine Phillips,1100.0,Canada,Finance & Investments
John Phillips,1100.0,Canada,Finance & Investments
Pu Zhongjie & family,1100.0,China,Healthcare
Qian Xiaojun,1100.0,China,Technology
Anton Rabie,1100.0,Canada,Manufacturing
Igor Rybakov,1100.0,Russia,Manufacturing
K. Rai Sahi,1100.0,Canada,Real Estate
"Karl Scheufele, III. & family",1100.0,Switzerland,Fashion & Retail
Steven Schuurman,1100.0,Netherlands,Technology
Shao Zengming,1100.0,China,Manufacturing
Analjit Singh,1100.0,India,Diversified
Kavita Singhania,1100.0,India,Manufacturing
Michael S. Smith,1100.0,United States,Energy
Scott Smith,1100.0,United States,Technology
Ashok Soota,1100.0,India,Technology
Michael Spencer,1100.0,United Kingdom,Finance & Investments
Venu Srinivasan,1100.0,India,Automotive
Dirk Stroeer,1100.0,Germany,Media & Entertainment
Susanto Suwarto,1100.0,Indonesia,Media & Entertainment
Xiuguo Tang,1100.0,China,Manufacturing
Mehmet Sinan Tara,1100.0,Turkey,Construction & Engineering
Robert Toll,1100.0,United States,Real Estate
Surin Upatkoon,1100.0,Thailand,Diversified
Sunil Vachani,1100.0,India,Manufacturing
Murat Vargi,1100.0,Turkey,Telecom
Pongsak Viddayakorn,1100.0,Thailand,Healthcare
Wang Linxiang,1100.0,China,Fashion & Retail
Wang Shumin,1100.0,China,Manufacturing
Richard Warke,1100.0,Canada,Metals & Mining
Anne Werninghaus,1100.0,Brazil,Manufacturing
Allan Wong,1100.0,Hong Kong,Manufacturing
Chaoqun Wu,1100.0,China,Manufacturing
Wu Yonghua,1100.0,China,Fashion & Retail
Wu Zhenxing,1100.0,China,Food & Beverage
Franziska Wuerbser,1100.0,Germany,Manufacturing
Xia Xinde,1100.0,China,Manufacturing
Xiong Jun & family,1100.0,China,Healthcare
Jane Yan & family,1100.0,China,Technology
Yang Erzhu,1100.0,China,Real Estate
Vlad Yatsenko,1100.0,Ukraine,Finance & Investments
Yi Xianzhong & family,1100.0,China,Healthcare
Yoshiaki Yoshida,1100.0,Japan,Fashion & Retail
Yu Rong,1100.0,China,Healthcare
Igor Yusufov,1100.0,Russia,Energy
Zeng Weixiong,1100.0,China,Healthcare
Zhang Cheng Fei,1100.0,China,Manufacturing
Zhang Fangliang,1100.0,China,Healthcare
Baoshen Zhong,1100.0,China,Energy
Zhou Minghua,1100.0,China,Healthcare
Krishna Kumar Bangur,1000.0,India,Manufacturing
"Wilbur  'Ed' Bosarge, Jr.",1000.0,United States,Finance & Investments
Johanna Braun,1000.0,Germany,Healthcare
Karl Friedrich Braun,1000.0,Germany,Healthcare
Jean-Pierre Cayard,1000.0,France,Food & Beverage
Tony Chen,1000.0,Taiwan,Technology
Vivien Chen,1000.0,Hong Kong,Real Estate
Chey Ki-won,1000.0,South Korea,Technology
Pollyanna Chu,1000.0,Hong Kong,Finance & Investments
Roy Chi Ping Chung,1000.0,Hong Kong,Manufacturing
Doug Clarke,1000.0,Australia,Technology
Ronald Clarke,1000.0,United States,Technology
Jean-Paul Clozel,1000.0,Switzerland,Healthcare
Carl DeSantis,1000.0,United States,Food & Beverage
Sefik Yilmaz Dizdar,1000.0,Turkey,Fashion & Retail
Charles Dunstone,1000.0,United Kingdom,Telecom
Larry Fink,1000.0,United States,Finance & Investments
Fu Gang,1000.0,China,Healthcare
Jorge Gallardo Ballart,1000.0,Spain,Healthcare
Nari Genomal,1000.0,Philippines,Fashion & Retail
Ramesh Genomal,1000.0,Philippines,Fashion & Retail
Sunder Genomal,1000.0,Philippines,Fashion & Retail
Horst-Otto Gerberding,1000.0,Germany,Food & Beverage
Guo Jiangang,1000.0,China,Manufacturing
Polys Haji-Ioannou,1000.0,Cyprus,Service
Huang Jian,1000.0,China,Manufacturing
Huang Jinxiang & family,1000.0,China,Manufacturing
Huang Weibin,1000.0,China,Manufacturing
Hiroshi Ishibashi,1000.0,Japan,Automotive
Bent Jensen,1000.0,Denmark,Manufacturing
Boris Jordan,1000.0,United States,Manufacturing
Morris Kahn,1000.0,Israel,Technology
Marcelo Kalim,1000.0,Brazil,Finance & Investments
Eugene Kaspersky,1000.0,Russia,Technology
Kangbao Ke & family,1000.0,China,Healthcare
Yunfeng Ke & family,1000.0,China,Healthcare
Ken Kendrick,1000.0,United States,Sports
Ihor Kolomoyskyy,1000.0,Ukraine,Diversified
Jeff Lawson,1000.0,United States,Technology
Liang Jiankun & family,1000.0,China,Metals & Mining
Liu Baolin,1000.0,China,Fashion & Retail
Liu Quan,1000.0,China,Technology
Udo Mueller,1000.0,Germany,Media & Entertainment
Bruce Nordstrom,1000.0,United States,Fashion & Retail
Scott Nuttall,1000.0,United States,Finance & Investments
Roberto Ongpin,1000.0,Philippines,Diversified
Adrian Paval,1000.0,Romania,Fashion & Retail
Tyler Perry,1000.0,United States,Media & Entertainment
Grant Petty,1000.0,Australia,Technology
G.V. Prasad,1000.0,India,Healthcare
Qiu Zixin,1000.0,China,Healthcare
Jupally Rameshwar Rao,1000.0,India,Real Estate
Vera Rechulski Santo Domingo,1000.0,Brazil,Food & Beverage
Michael Rees,1000.0,United States,Finance & Investments
Mark Rein,1000.0,United States,Media & Entertainment
Ren Zhengfei,1000.0,China,Telecom
Francisco Jose Riberas Mera,1000.0,Spain,Manufacturing
Boris Rotenberg,1000.0,Russia,Construction & Engineering
Chanchai Ruayrungruang,1000.0,China,Real Estate
Alan Rydge,1000.0,Australia,Media & Entertainment
Oliver Samwer,1000.0,Germany,Technology
Glenn Sanford,1000.0,United States,Real Estate
Dhruv Sawhney,1000.0,India,Construction & Engineering
Stephan Schnabel,1000.0,Germany,Manufacturing
Neerja Sethi,1000.0,United States,Technology
Ramesh Chandra Sharma,1000.0,India,Finance & Investments
Dean Solon,1000.0,United States,Energy
Mike Speiser,1000.0,United States,Technology
Jeff Sprecher,1000.0,United States,Finance & Investments
Axel Stawski,1000.0,United States,Real Estate
Joseph Steinberg,1000.0,United States,Finance & Investments
Bhawari Bai Surana,1000.0,India,Healthcare
Ruiqing Tan,1000.0,China,Manufacturing
Masaru Tange,1000.0,Japan,Technology
Dennis Anthony Uy,1000.0,Philippines,Telecom
Peter-Alexander Wacker,1000.0,Germany,Manufacturing
Shigefumi Wada & family,1000.0,Japan,Technology
Wang Qiangxiang,1000.0,China,Service
Xiong Shaoming,1000.0,China,Manufacturing
Shintaro Yamada,1000.0,Japan,Technology
Mark Haoyong Yang,1000.0,China,Technology
Yao Hsiao Tung,1000.0,Singapore,Manufacturing
Yao Liangbo,1000.0,China,Fashion & Retail
Ye Qiongjiu,1000.0,China,Technology
"Richard Yuengling, Jr.",1000.0,United States,Food & Beverage
Zhang Kapeng,1000.0,China,Construction & Engineering
Zhang Yuqiang,1000.0,China,Manufacturing
Zhou Ruxin,1000.0,China,Technology
Wen Zhou & family,1000.0,China,Manufacturing
Zhou Yifeng & family,1000.0,China,Energy
Zhuang Kuilong & family,1000.0,China,Manufacturing
