Building,City,Floors,Height,Year
Suning Plaza Tower A,Zhenjiang,77,1082,2016
Han Kwok City Center,Shenzhen,80,1081,2016
Three World Trade Center,New York City,71,1079,2018
The Index,Dubai,80,1076,2010
Longxi International Hotel,Jiangyin,74,1076,2011
Al Yaqoub Tower,Dubai,69,1076,2013
Wuxi Suning Plaza,Wuxi,68,1076,2014
Golden Eagle Tiandi Tower B,Nanjing,68,1076,2020
Binjiang IFC 1,Changsha,66,1076,2021
Baoneng Center,Shenzhen,65,1074,2018
Huaqiang Golden Corridor City Plaza Main Tower,Shenyang,66,1073,2022
Nanjing World Trade Center Tower 1,Nanjing,68,1071,2022
Salesforce Tower,San Francisco,61,1070,2018
Main Tower in Toranomon-Azabudai Area A District Project,Tokyo,65,1067,2023
The Landmark,Abu Dhabi,72,1063,2013
Deji Plaza Phase II,Nanjing,62,1063,2013
Shimao No.1 The Harbour Main Tower,Yantai,57,1060,2016
Q1 Tower,Gold Coast City,80,1058,2005
The Torch,Dubai,86,1055,2011
Guangxi Finance Plaza,Nanning,68,1053,2017
Burj Al Arab,Dubai,60,1053,1999
53W53,New York City,77,1050,2019
Shenzhen Bay Innovation and Technology Centre Tower 1,Shenzhen,71,1050,2020
Huijin Center 1,Guangzhou,69,1050,2022
Sinar Mas Center 1,Shanghai,65,1050,2017
Chrysler Building,New York City,77,1046,1930
Teddy Tower,Hong Kong,80,1046,2007
Global City Square,Guangzhou,67,1046,2016
New York Times Tower,New York City,52,1046,2007
Yangzhou Jinao Center,Yangzhou,72,1043,2022
Jiuzhou International Tower,Nanning,71,1043,2017
Grand Hyatt Hotel Manila,Taguig,66,1043,2016
Magnolias Waterfront Residences,Bangkok,70,1043,2018
66 Hudson Boulevard,New York City,66,1041,2022
HHHR Tower,Dubai,72,1040,2010
Australia 108,Melbourne,100,1039,2020
The Wharf IFS T1,Chongqing,64,1038,2016
Youth Olympics Center Tower 1,Nanjing,68,1033,2014
The Wharf IFS Tower 2,Changsha,63,1033,2018
MahaNakhon,Bangkok,77,1031,2016
Teda IFC 1,Tianjin,56,1027,2022
Honglou Times Square,Lanzhou,56,1027,2018
Bank of America Plaza,Atlanta,55,1023,1992
Maoye Plaza 1,Shenyang,75,1020,2014
Poly Pazhou C2,Guangzhou,65,1020,2017
Abu Dhabi Plaza Residential Tower,Nur-Sultan,75,1020,2022
Guangxi Wealth Financial Center,Nanning,70,1020,2019
US Bank Tower,Los Angeles,73,1018,1989
Menara Telekom,Kuala Lumpur,55,1017,2001
Ocean Heights,Dubai,82,1017,2010
Greenland Center 2,Hangzhou,67,1017,2021
Greenland Center 1,Hangzhou,67,1017,2021
CCCC Southern Financial Investment Building,Zhuhai,65,1017,2021
Varso Tower,Warsaw,54,1017,2022
Pearl River Tower,Guangzhou,71,1016,2012
Guangzhou Fortune Center,Guangzhou,73,1015,2015
Jumeirah Emirates Towers Hotel,Dubai,56,1014,2000
Eurasia Tower,Moscow,67,1013,2015
Burj Rafal,Riyadh,68,1010,2014
Guangfa Securities Headquarters,Guangzhou,62,1010,2018
35 Hudson Yards,New York City,72,1010,2019
Amna Tower,Dubai,75,1007,2020
Noora Tower,Dubai,75,1007,2019
Wanda Plaza Main Tower 2,Kunming,67,1007,2016
Wanda Plaza Main Tower 1,Kunming,67,1007,2016
Franklin Center North Tower,Chicago,60,1007,1989
One57,New York City,75,1005,2014
Cayan Tower,Dubai,73,1005,2013
East Pacific Center Tower A,Shenzhen,85,1004,2013
The Shard,London,73,1004,2013
The Address Downtown Dubai,Dubai,63,1004,2008
