Votes,Rating,Title,Year,Decade
49702,8.1,Sherlock Jr.,1924,1920
514683,8.1,Hacksaw Ridge,2016,2020
179620,8.1,Memories of Murder,2003,2000
146291,8.1,Klaus,2019,2020
196679,8.1,Wild Tales,2014,2010
184106,8.1,The Seventh Seal,1957,1960
416261,8.1,Room,2015,2020
986497,8.1,Mad Max: Fury Road,2015,2020
731584,8.1,How to Train Your Dragon,2010,2010
800184,8.1,The Big Lebowski,1998,2000
176724,8.1,Mary and Max,2009,2010
897793,8.1,"Monsters, Inc.",2001,2000
596693,8.1,Jaws,1975,1980
61444,8.1,Tokyo Story,1953,1950
482566,8.1,Dead Poets Society,1989,1990
54563,8.1,The Passion of Joan of Arc,1928,1930
354268,8.1,Hotel Rwanda,2004,2000
569013,8.0,Rocky,1976,1980
381645,8.0,Ford v Ferrari,2019,2020
411512,8.0,Platoon,1986,1990
32649,8.0,Pather Panchali,1955,1960
399428,8.0,Stand by Me,1986,1990
855033,8.0,The Terminator,1984,1980
465363,8.0,Spotlight,2015,2020
475553,8.0,Rush,2013,2010
747533,8.0,Logan,2017,2020
158957,8.0,Network,1976,1980
722550,8.0,Ratatouille,2007,2010
618807,8.0,Into the Wild,2007,2010
396118,8.0,The Wizard of Oz,1939,1940
624199,8.0,Groundhog Day,1993,1990
261815,8.0,Before Sunset,2004,2000
400359,8.0,The Exorcist,1973,1970
64387,8.0,The Best Years of Our Lives,1946,1950
726215,8.0,The Incredibles,2004,2000
37039,8.0,To Be or Not to Be,1942,1940
92999,8.0,The Grapes of Wrath,1940,1940
136694,8.0,Rebecca,1940,1940
60005,8.0,The Battle of Algiers,1966,1970
282480,8.0,Hachi: A Dog's Tale,2009,2010
176477,8.0,Cool Hand Luke,1967,1970
239485,8.0,Amores perros,2000,2000
1113216,8.0,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2000
171712,8.0,La Haine,1995,2000
117261,8.0,The 400 Blows,1959,1960
86474,8.0,My Father and My Son,2005,2000
103585,8.0,It Happened One Night,1934,1930
117818,8.0,Persona,1966,1970
231846,8.0,The Sound of Music,1965,1960
397165,8.0,Life of Brian,1979,1980
143791,8.0,The Handmaiden,2016,2020
196916,8.0,Jai Bhim,2021,2020
29399,8.0,Dersu Uzala,1975,1980
413406,8.0,Aladdin,1992,1990
230719,8.0,Gandhi,1982,1980
455605,8.0,The Help,2011,2010
192749,8.0,The Iron Giant,1999,2000
